postcode,defunct (y/n) [as of September 2022],if when (M/Y),eastings,northings,latitude,longitude,town,region,country,country_string,
CT16,Y,January 2014,631000,143100,51.13996,1.30267,Dover,Kent,ENG,England,
CT6,Y,December 2018,617900,167500,51.3642,1.13054,Canterbury,Kent,ENG,England,
CV6,Y,January 2007,433500,281700,52.43188,-1.50722,,Coventry,ENG,England,
CW6,N,,355500,363000,53.16197,-2.66565,Tarporley,Cheshire West and Chester,ENG,England,
DD6,N,,342900,727600,56.43723,-2.92612,,Fife,SCT,Scotland,
DE56,Y,July 2013,435300,347300,53.02152,-1.47369,Belper,Derbyshire,ENG,England,
DL16,Y,June 2012,425500,533800,54.69848,-1.60429,Spennymoor,County Durham,ENG,England,
DN6,N,,454500,411400,53.5961,-1.17643,Owston,Doncaster,ENG,England,
DT6,Y,August 2011,345300,93600,50.73886,-2.77528,Allington,Dorset,ENG,England,
DY6,N,,388900,289000,52.49842,-2.16353,,Dudley,ENG,England,
E16,Y,May 2011,540600,181100,51.51083,0.02633,East Ham,Greater London,ENG,England,
E6,Y,April 2007,542600,182800,51.5256,0.05583,East Ham,Greater London,ENG,England,
EH16,N,,327900,670500,55.92221,-3.15387,Edinburgh,City of Edinburgh,SCT,Scotland,
EH26,N,,323400,660600,55.83257,-3.22307,Penicuik,Midlothian,SCT,Scotland,
EN6,Y,February 2014,526000,201700,51.69942,-0.17656,Potters Bar,Hertfordshire,ENG,England,
EX16,N,,295200,114800,50.92258,-3.49122,Tiverton,Devon,ENG,England,
FY6,N,,335500,441800,53.86819,-2.981,Hardhorn and Thornton,Lancashire,ENG,England,
G46,Y,May 2011,255500,659200,55.80446,-4.30573,Thornliebank,East Renfrewshire,SCT,Scotland,
G66,Y,May 2013,265500,674000,55.94024,-4.15364,Kirkintilloch,East Dunbartonshire,SCT,Scotland,
G76,N,,257500,656200,55.77811,-4.27227,Thornliebank,East Renfrewshire,SCT,Scotland,
GL16,Y,April 2018,357900,211000,51.79561,-2.61054,Coleford,Gloucestershire,ENG,England,
GL56,N,,420300,232300,51.98836,-1.70435,Moreton-in-Marsh,Gloucestershire,ENG,England,
GL6,N,,386800,204100,51.735,-2.19117,Thrupp,Gloucestershire,ENG,England,
GU16,N,,488600,157700,51.311,-0.72868,Camberley,Surrey,ENG,England,
GU6,Y,May 2010,506200,139100,51.14078,-0.48174,Cranleigh,Surrey,ENG,England,
